date,adj close,close,high,low,open,volume,symbol
2025-12-08,185.323974609375,185.5500030517578,188.0,182.39999389648438,182.63999938964844,204378100,NVDA
2025-12-09,184.7446746826172,184.97000122070312,185.72000122070312,183.32000732421875,185.55999755859375,144719700,NVDA
2025-12-10,183.55612182617188,183.77999877929688,185.47999572753906,182.0399932861328,184.97000122070312,162785400,NVDA
2025-12-11,180.70957946777344,180.92999267578125,181.32000732421875,176.6199951171875,180.27999877929688,182136600,NVDA
2025-12-12,174.80679321289062,175.02000427246094,182.82000732421875,174.6199951171875,181.11000061035156,204274900,NVDA
2025-12-15,176.0752410888672,176.2899932861328,178.4199981689453,175.02999877929688,177.94000244140625,164775600,NVDA
2025-12-16,177.50350952148438,177.72000122070312,178.49000549316406,174.89999389648438,176.25999450683594,148588100,NVDA
2025-12-17,170.7317657470703,170.94000244140625,176.1300048828125,170.30999755859375,176.10000610351562,222775500,NVDA
2025-12-18,173.9278564453125,174.13999938964844,176.14999389648438,171.82000732421875,174.52999877929688,176096000,NVDA
2025-12-19,180.76951599121094,180.99000549316406,181.4499969482422,176.33999633789062,176.6699981689453,324925900,NVDA
2025-12-22,183.4662322998047,183.69000244140625,184.16000366210938,182.35000610351562,183.9199981689453,129064400,NVDA
2025-12-23,188.97950744628906,189.2100067138672,189.3300018310547,182.89999389648438,182.97000122070312,174873600,NVDA
2025-12-24,188.38023376464844,188.61000061035156,188.91000366210938,186.58999633789062,187.94000244140625,65528500,NVDA
2025-12-26,190.2978973388672,190.52999877929688,192.69000244140625,188.0,189.9199981689453,139740300,NVDA
2025-12-29,187.99070739746094,188.22000122070312,188.75999450683594,185.91000366210938,187.7100067138672,120006100,NVDA
2025-12-30,187.31153869628906,187.5399932861328,188.99000549316406,186.92999267578125,188.24000549316406,97687300,NVDA
2025-12-31,186.27281188964844,186.5,190.55999755859375,186.49000549316406,189.57000732421875,120100500,NVDA
2026-01-02,188.6199493408203,188.85000610351562,192.92999267578125,188.25999450683594,189.83999633789062,148240500,NVDA
2026-01-05,187.89083862304688,188.1199951171875,193.6300048828125,186.14999389648438,191.75999450683594,183529700,NVDA
2026-01-06,187.0119171142578,187.24000549316406,192.1699981689453,186.82000732421875,190.52000427246094,176862600,NVDA
2026-01-07,188.87962341308594,189.11000061035156,191.3699951171875,186.55999755859375,188.57000732421875,153543200,NVDA
2026-01-08,184.81459045410156,185.0399932861328,189.5500030517578,183.7100067138672,189.11000061035156,172457000,NVDA
2026-01-09,184.63479614257812,184.86000061035156,186.33999633789062,183.6699981689453,185.0800018310547,131327500,NVDA
