date,adj close,close,high,low,open,volume,symbol
2025-12-08,226.88999938964844,226.88999938964844,230.8300018310547,226.27000427246094,229.58999633789062,35019200,AMZN
2025-12-09,227.9199981689453,227.9199981689453,228.57000732421875,225.11000061035156,226.83999633789062,25841700,AMZN
2025-12-10,231.77999877929688,231.77999877929688,232.4199981689453,228.4600067138672,228.80999755859375,38790700,AMZN
2025-12-11,230.27999877929688,230.27999877929688,232.11000061035156,228.69000244140625,230.7100067138672,28249600,AMZN
2025-12-12,226.19000244140625,226.19000244140625,230.0800018310547,225.1199951171875,229.8699951171875,35639100,AMZN
2025-12-15,222.5399932861328,222.5399932861328,227.92999267578125,221.5,227.92999267578125,47286100,AMZN
2025-12-16,222.55999755859375,222.55999755859375,223.66000366210938,221.1300048828125,223.0399932861328,39298900,AMZN
2025-12-17,221.27000427246094,221.27000427246094,225.19000244140625,220.99000549316406,224.66000366210938,44034400,AMZN
2025-12-18,226.75999450683594,226.75999450683594,229.22999572753906,224.41000366210938,225.7100067138672,50272400,AMZN
2025-12-19,227.35000610351562,227.35000610351562,229.1300048828125,225.5800018310547,226.75999450683594,85544400,AMZN
2025-12-22,228.42999267578125,228.42999267578125,229.47999572753906,226.7100067138672,228.61000061035156,32261300,AMZN
2025-12-23,232.13999938964844,232.13999938964844,232.4499969482422,228.72999572753906,229.05999755859375,29230200,AMZN
2025-12-24,232.3800048828125,232.3800048828125,232.9499969482422,231.3300018310547,232.1300048828125,11420500,AMZN
2025-12-26,232.52000427246094,232.52000427246094,232.99000549316406,231.17999267578125,232.0399932861328,15994700,AMZN
2025-12-29,232.07000732421875,232.07000732421875,232.60000610351562,230.77000427246094,231.94000244140625,19797900,AMZN
2025-12-30,232.52999877929688,232.52999877929688,232.77000427246094,230.1999969482422,231.2100067138672,21910500,AMZN
2025-12-31,230.82000732421875,230.82000732421875,232.99000549316406,230.1199951171875,232.91000366210938,24383700,AMZN
2026-01-02,226.5,226.5,235.4600067138672,224.6999969482422,231.33999633789062,51456200,AMZN
2026-01-05,233.05999755859375,233.05999755859375,234.0,227.17999267578125,228.83999633789062,49733300,AMZN
2026-01-06,240.92999267578125,240.92999267578125,243.17999267578125,232.07000732421875,232.10000610351562,53764700,AMZN
2026-01-07,241.55999755859375,241.55999755859375,245.2899932861328,239.52000427246094,239.61000061035156,42236500,AMZN
2026-01-08,246.2899932861328,246.2899932861328,246.41000366210938,241.8800048828125,243.05999755859375,39509800,AMZN
2026-01-09,247.3800048828125,247.3800048828125,247.86000061035156,242.24000549316406,244.57000732421875,34560000,AMZN
2026-01-12,246.47000122070312,246.47000122070312,248.94000244140625,245.9600067138672,246.72999572753906,35867800,AMZN
2026-01-13,242.60000610351562,242.60000610351562,247.66000366210938,240.25,246.52999877929688,38371800,AMZN
2026-01-14,236.64999389648438,236.64999389648438,241.27999877929688,236.22000122070312,241.14999389648438,41410600,AMZN
2026-01-15,238.17999267578125,238.17999267578125,240.64999389648438,236.6300048828125,239.30999755859375,43003600,AMZN
2026-01-16,239.1199951171875,239.1199951171875,239.57000732421875,236.41000366210938,239.08999633789062,45888300,AMZN
2026-01-20,231.0,231.0,235.08999633789062,229.33999633789062,233.75999450683594,47737900,AMZN
2026-01-21,231.30999755859375,231.30999755859375,232.3000030517578,226.8800048828125,231.08999633789062,47276100,AMZN
2026-01-22,234.33999633789062,234.33999633789062,235.72000122070312,230.89999389648438,234.0500030517578,31913300,AMZN
2026-01-23,239.16000366210938,239.16000366210938,240.4499969482422,234.57000732421875,234.9600067138672,33778500,AMZN
