date,adj close,close,high,low,open,volume,symbol
2025-12-08,246.71664428710938,246.9199981689453,249.22999572753906,241.61000061035156,243.49000549316406,20495400,MU
2025-12-09,252.21212768554688,252.4199981689453,255.50999450683594,242.8300018310547,244.49000549316406,17067100,MU
2025-12-10,263.4927978515625,263.7099914550781,264.75,250.5800018310547,255.1300048828125,21960700,MU
2025-12-11,258.24713134765625,258.4599914550781,262.8500061035156,251.5500030517578,261.5299987792969,18867000,MU
2025-12-12,240.94140625,241.13999938964844,255.82000732421875,239.32000732421875,255.6699981689453,25936900,MU
2025-12-15,237.3043975830078,237.5,250.11000061035156,236.0,247.11000061035156,27483600,MU
2025-12-16,232.31849670410156,232.50999450683594,239.39999389648438,230.5800018310547,235.8000030517578,22577300,MU
2025-12-17,225.3342742919922,225.52000427246094,237.4499969482422,221.69000244140625,236.55999755859375,41957100,MU
2025-12-18,248.34530639648438,248.5500030517578,263.6499938964844,245.0,256.5299987792969,65006100,MU
2025-12-19,265.7010192871094,265.9200134277344,268.3800048828125,251.75,251.75,62312100,MU
2025-12-22,276.3622131347656,276.5899963378906,279.989990234375,268.2900085449219,277.1499938964844,30961900,MU
2025-12-23,276.04248046875,276.2699890136719,281.8599853515625,272.32000732421875,275.9200134277344,20767600,MU
2025-12-24,286.4438781738281,286.67999267578125,289.29998779296875,277.25,278.0,18592600,MU
2025-12-26,284.5554504394531,284.7900085449219,290.8699951171875,283.4200134277344,290.8399963378906,17878500,MU
2025-12-29,294.24639892578125,294.3699951171875,294.5,278.5,280.3299865722656,26642900,MU
2025-12-30,292.5071105957031,292.6300048828125,298.8299865722656,292.010009765625,294.70001220703125,23056400,MU
2025-12-31,285.2901611328125,285.4100036621094,293.1700134277344,284.17999267578125,293.1700134277344,17573800,MU
2026-01-02,315.2875671386719,315.4200134277344,315.6000061035156,294.8599853515625,295.1300048828125,42604300,MU
2026-01-05,312.0189208984375,312.1499938964844,325.5299987792969,309.54998779296875,325.1300048828125,34608600,MU
2026-01-06,343.2857666015625,343.42999267578125,344.54998779296875,318.05999755859375,318.2799987792969,48732400,MU
2026-01-07,339.40740966796875,339.54998779296875,346.29998779296875,337.17999267578125,340.7099914550781,32781100,MU
2026-01-08,326.8826599121094,327.0199890136719,343.6600036621094,321.3599853515625,342.8999938964844,33897700,MU
2026-01-09,344.9450988769531,345.0899963378906,345.79998779296875,326.19000244140625,332.75,33387500,MU
2026-01-12,345.7247619628906,345.8699951171875,348.4700012207031,339.32000732421875,340.54998779296875,23152600,MU
2026-01-13,337.9880065917969,338.1300048828125,351.2300109863281,335.2200012207031,346.2699890136719,23881300,MU
2026-01-14,333.21002197265625,333.3500061035156,339.1000061035156,328.20001220703125,334.8399963378906,20277200,MU
2026-01-15,336.4886474609375,336.6300048828125,347.7699890136719,336.2699890136719,345.3299865722656,25370200,MU
2026-01-16,362.5976867675781,362.75,365.80999755859375,352.0400085449219,353.1000061035156,47901900,MU
2026-01-20,364.84674072265625,365.0,381.55999755859375,361.3500061035156,364.67999267578125,49744900,MU
2026-01-21,388.94659423828125,389.1099853515625,394.20001220703125,366.7300109863281,372.8500061035156,56712800,MU
2026-01-22,397.41302490234375,397.5799865722656,397.7799987792969,376.9200134277344,396.6400146484375,39607600,MU
2026-01-23,399.482177734375,399.6499938964844,412.42999267578125,390.739990234375,397.1600036621094,35404200,MU
2026-01-26,388.9266052246094,389.0899963378906,398.0,384.29998779296875,395.5,29193900,MU
2026-01-27,410.0677185058594,410.239990234375,416.45001220703125,399.6000061035156,404.6099853515625,36212100,MU
2026-01-28,435.09722900390625,435.2799987792969,438.94000244140625,417.0,422.44000244140625,42725700,MU
2026-01-29,435.6070251464844,435.7900085449219,444.7099914550781,417.70001220703125,439.3699951171875,42675700,MU
2026-01-30,414.7057800292969,414.8800048828125,455.5,407.1300048828125,446.4700012207031,51022900,MU
2026-02-02,437.61614990234375,437.79998779296875,442.42999267578125,410.0,412.17999267578125,37771200,MU
2026-02-03,419.2638854980469,419.44000244140625,442.29998779296875,407.5299987792969,442.1600036621094,42763300,MU
2026-02-04,379.2406921386719,379.3999938964844,413.0,363.8999938964844,410.5899963378906,58074900,MU
2026-02-05,382.729248046875,382.8900146484375,390.92999267578125,366.0,369.6199951171875,38899500,MU
2026-02-06,394.5242614746094,394.69000244140625,396.6499938964844,372.8699951171875,377.9700012207031,37196000,MU
2026-02-09,383.3389587402344,383.5,391.80999755859375,370.67999267578125,380.69000244140625,31009600,MU
2026-02-10,373.09326171875,373.25,382.7900085449219,366.05999755859375,375.989990234375,35433800,MU
2026-02-11,410.1676940917969,410.3399963378906,414.1600036621094,386.57000732421875,395.3900146484375,48475000,MU
2026-02-12,413.7961730957031,413.9700012207031,438.7699890136719,411.1600036621094,422.25,45639100,MU
2026-02-13,411.4871520996094,411.6600036621094,420.8800048828125,392.7099914550781,405.19000244140625,33807600,MU
2026-02-17,399.61212158203125,399.7799987792969,413.6600036621094,395.29998779296875,400.95001220703125,28549500,MU
2026-02-18,420.77325439453125,420.95001220703125,427.8500061035156,394.6000061035156,399.5,32306600,MU
2026-02-19,417.17474365234375,417.3500061035156,420.32000732421875,407.739990234375,415.80999755859375,21651300,MU
2026-02-20,427.9902038574219,428.1700134277344,430.57000732421875,415.1499938964844,415.17999267578125,29894900,MU
2026-02-23,420.7932434082031,420.9700012207031,431.70001220703125,415.29998779296875,422.30999755859375,25426600,MU
2026-02-24,417.83447265625,418.010009765625,436.2699890136719,411.2799987792969,429.2200012207031,33389200,MU
2026-02-25,428.8198547363281,429.0,436.8900146484375,423.0,426.5,27296300,MU
2026-02-26,415.385498046875,415.55999755859375,434.0,401.9599914550781,424.8399963378906,35433500,MU
2026-02-27,412.19683837890625,412.3699951171875,417.9599914550781,401.17999267578125,401.80999755859375,28653900,MU
2026-03-02,412.4967346191406,412.6700134277344,417.6099853515625,397.0,401.4700012207031,30049200,MU
2026-03-03,379.52056884765625,379.67999267578125,390.0899963378906,374.54998779296875,386.54998779296875,39010900,MU
2026-03-04,400.6016845703125,400.7699890136719,407.8800048828125,387.6099853515625,393.6400146484375,32644900,MU
2026-03-05,396.8832702636719,397.04998779296875,404.5299987792969,380.29998779296875,398.6000061035156,29960100,MU
2026-03-06,370.1445007324219,370.29998779296875,391.17999267578125,367.45001220703125,380.1400146484375,34458800,MU
2026-03-09,389.1565246582031,389.32000732421875,390.0,357.6700134277344,363.9599914550781,35547200,MU
