date,open,high,low,close,volume,adj close,symbol
2025-06-23,32.230552673339844,32.455482482910156,32.01499557495117,32.41799545288086,30696630,31.05670928955078,CMCSA
2025-06-24,32.596065521240234,33.064666748046875,32.427364349365234,32.999061584472656,25948907,31.613370895385742,CMCSA
2025-06-25,32.94282913208008,32.98031997680664,32.61480712890625,32.65229415893555,23071741,31.281166076660156,CMCSA
2025-06-26,32.66166687011719,33.01780700683594,32.63355255126953,32.999061584472656,17958250,31.613370895385742,CMCSA
2025-06-27,33.083412170410156,33.327083587646484,32.98031997680664,33.10215759277344,28744873,31.71213722229004,CMCSA
2025-06-30,33.149017333984375,33.52389907836914,33.064666748046875,33.44892120361328,19729257,32.044342041015625,CMCSA
2025-07-01,33.355201721191406,34.35801315307617,33.336456298828125,34.048736572265625,24388953,32.61896896362305,CMCSA
2025-07-02,33.65510940551758,33.84254837036133,33.4770393371582,33.58013153076172,25762502,32.464935302734375,CMCSA
2025-07-03,33.5520133972168,34.11433792114258,33.53327178955078,33.73008346557617,10841680,32.60990524291992,CMCSA
2025-07-07,33.66447830200195,33.87066650390625,33.149017333984375,33.21461868286133,16088760,32.11155700683594,CMCSA
2025-07-08,33.345829010009766,33.79568862915039,33.16775894165039,33.73945617675781,13563597,32.61896514892578,CMCSA
2025-07-09,33.66447830200195,33.767574310302734,33.16775894165039,33.38331985473633,15908437,32.274658203125,CMCSA
2025-07-10,33.327083587646484,33.711341857910156,33.15838623046875,33.19587707519531,16146591,32.093441009521484,CMCSA
2025-07-11,33.02717971801758,33.130271911621094,32.76476287841797,32.792877197265625,17994315,31.70382308959961,CMCSA
2025-07-14,32.70853042602539,33.430179595947266,32.61480712890625,33.402061462402344,19787835,32.29277420043945,CMCSA
2025-07-15,33.38331985473633,33.43954849243164,32.521087646484375,32.53982925415039,18142094,31.459178924560547,CMCSA
2025-07-16,32.586692810058594,32.68041229248047,32.12746047973633,32.239925384521484,22516794,31.16923713684082,CMCSA
2025-07-17,32.14620590209961,32.82099151611328,32.12746047973633,32.521087646484375,18721155,31.44106101989746,CMCSA
2025-07-18,32.67103958129883,32.73664474487305,32.26803970336914,32.37113571166992,15778903,31.29608917236328,CMCSA
2025-07-21,32.56794738769531,32.89596939086914,32.49296951293945,32.811622619628906,16874712,31.721948623657227,CMCSA
2025-07-22,32.90534210205078,33.5145263671875,32.83973693847656,33.055294036865234,15528478,31.9575252532959,CMCSA
2025-07-23,33.149017333984375,33.64573669433594,33.11152648925781,33.54264450073242,17531237,32.42869186401367,CMCSA
2025-07-24,33.57075881958008,33.758201599121094,33.149017333984375,33.149017333984375,17215618,32.04813766479492,CMCSA
2025-07-25,31.99625015258789,32.27741241455078,31.115276336669922,31.565135955810547,35130548,30.516857147216797,CMCSA
2025-07-28,31.555763244628906,31.630739212036133,31.218368530273438,31.4245548248291,20947237,30.380945205688477,CMCSA
