date,open,high,low,close,volume,adj close,symbol
2025-06-23,123.66999816894531,124.51000213623047,119.80999755859375,122.08000183105469,23399200,121.78848266601562,MU
2025-06-24,125.11000061035156,128.10000610351562,124.95999908447266,127.91000366210938,26420600,127.60456085205078,MU
2025-06-25,126.61000061035156,127.5,125.62000274658203,127.25,39407000,126.9461441040039,MU
2025-06-26,129.52999877929688,129.85000610351562,123.79000091552734,126.0,62678100,125.6991195678711,MU
2025-06-27,125.13999938964844,127.54000091552734,123.38999938964844,124.76000213623047,36888600,124.46208953857422,MU
2025-06-30,124.9000015258789,125.08000183105469,121.8499984741211,123.25,22799700,122.9556884765625,MU
2025-07-01,122.3499984741211,123.98999786376953,119.08000183105469,120.88999938964844,24825800,120.601318359375,MU
2025-07-02,120.5,123.0,118.05999755859375,121.73999786376953,29303800,121.44929504394531,MU
2025-07-03,122.33000183105469,123.62999725341797,121.83000183105469,122.29000091552734,13247900,121.99797821044922,MU
2025-07-07,121.18000030517578,121.51000213623047,118.91000366210938,119.91999816894531,19148400,119.74624633789062,MU
2025-07-08,122.44999694824219,125.44999694824219,121.94999694824219,124.41999816894531,26238200,124.2397232055664,MU
2025-07-09,124.81999969482422,126.1500015258789,121.27999877929688,122.23999786376953,20464000,122.0628890991211,MU
2025-07-10,124.27999877929688,124.3499984741211,122.0199966430664,123.11000061035156,15378400,122.93162536621094,MU
2025-07-11,122.12999725341797,124.80999755859375,121.23999786376953,124.52999877929688,15820600,124.34957122802734,MU
2025-07-14,120.37999725341797,120.44000244140625,117.0199966430664,118.61000061035156,32117700,118.43814849853516,MU
2025-07-15,120.94000244140625,121.38999938964844,119.12000274658203,120.11000061035156,24958900,119.93596649169922,MU
2025-07-16,119.02999877929688,119.08999633789062,114.80999755859375,116.43000030517578,30614800,116.26130676269531,MU
2025-07-17,113.93000030517578,114.19999694824219,110.94999694824219,113.26000213623047,34702400,113.09589385986328,MU
2025-07-18,114.23999786376953,114.80000305175781,113.27999877929688,114.38999938964844,19349900,114.22425842285156,MU
2025-07-21,113.58999633789062,115.91999816894531,112.66999816894531,113.2300033569336,22189800,113.06594848632812,MU
2025-07-22,112.86000061035156,113.0,108.12999725341797,109.22000122070312,27917600,109.06175231933594,MU
2025-07-23,109.44000244140625,110.29000091552734,108.87999725341797,109.83000183105469,17810000,109.6708755493164,MU
2025-07-24,111.05999755859375,112.7300033569336,110.25,111.7300033569336,20293100,111.568115234375,MU
2025-07-25,110.98999786376953,111.5,108.83000183105469,111.26000213623047,16372300,111.09879302978516,MU
2025-07-28,111.72000122070312,112.0,109.86000061035156,111.25,12932300,111.08881378173828,MU
2025-07-29,112.05000305175781,113.54000091552734,110.66999816894531,111.95999908447266,16653300,111.79778289794922,MU
2025-07-30,112.5999984741211,114.88999938964844,112.41000366210938,114.73999786376953,16378800,114.5737533569336,MU
2025-07-31,112.19000244140625,112.2699966430664,106.94000244140625,109.13999938964844,29224300,108.98186492919922,MU
2025-08-01,105.48999786376953,106.5,103.37999725341797,104.87999725341797,24003300,104.72804260253906,MU
2025-08-04,106.0199966430664,107.87999725341797,105.45999908447266,107.7699966430664,14780600,107.61384582519531,MU
2025-08-05,109.30000305175781,110.63999938964844,106.83000183105469,109.05999755859375,17836000,108.90198516845703,MU
2025-08-06,107.9000015258789,108.95999908447266,106.75,108.77999877929688,13021900,108.62239074707031,MU
2025-08-07,114.13999938964844,115.27999877929688,110.79000091552734,111.87000274658203,18986500,111.70791625976562,MU
2025-08-08,112.16999816894531,119.33000183105469,111.66999816894531,118.88999938964844,28962200,118.71774291992188,MU
2025-08-11,124.97000122070312,127.27999877929688,121.6500015258789,123.72000122070312,35065800,123.54074096679688,MU
2025-08-12,124.69999694824219,128.5500030517578,123.04000091552734,127.75,25961200,127.56490325927734,MU
2025-08-13,127.58000183105469,128.60000610351562,123.3499984741211,124.2699966430664,18438200,124.0899429321289,MU
2025-08-14,123.19999694824219,125.73999786376953,121.4000015258789,125.29000091552734,12235900,125.10845947265625,MU
