date,adj close,close,high,low,open,volume,symbol,sma_20,sma_50,ema_12,ema_26,rsi_14,atr_14,momentum_5
2025-12-08,246.71664428710938,246.9199981689453,249.22999572753906,241.61000061035156,243.49000549316406,20495400,MU,,,,,,0.0,
2025-12-09,252.21212768554688,252.4199981689453,255.50999450683594,242.8300018310547,244.49000549316406,17067100,MU,,,,,,0.0,
2025-12-10,263.4927978515625,263.7099914550781,264.75,250.5800018310547,255.1300048828125,21960700,MU,,,,,,0.0,
2025-12-11,258.24713134765625,258.4599914550781,262.8500061035156,251.5500030517578,261.5299987792969,18867000,MU,,,,,,0.0,
2025-12-12,240.94140625,241.13999938964844,255.82000732421875,239.32000732421875,255.6699981689453,25936900,MU,,,,,,0.0,
2025-12-15,237.3043975830078,237.5,250.11000061035156,236.0,247.11000061035156,27483600,MU,,,,,,0.0,-0.03815000096711507
2025-12-16,232.31849670410156,232.50999450683594,239.39999389648438,230.5800018310547,235.8000030517578,22577300,MU,,,,,,0.0,-0.07887649079524817
2025-12-17,225.3342742919922,225.52000427246094,237.4499969482422,221.69000244140625,236.55999755859375,41957100,MU,,,,,,0.0,-0.14481812756466106
2025-12-18,248.34530639648438,248.5500030517578,263.6499938964844,245.0,256.5299987792969,65006100,MU,,,,,,0.0,-0.0383424465331329
2025-12-19,265.7010192871094,265.9200134277344,268.3800048828125,251.75,251.75,62312100,MU,,,,,,0.0,0.10276193954054436
2025-12-22,276.3622131347656,276.5899963378906,279.989990234375,268.2900085449219,277.1499938964844,30961900,MU,,,,,,0.0,0.16458945826480265
2025-12-23,276.04248046875,276.2699890136719,281.8599853515625,272.32000732421875,275.9200134277344,20767600,MU,,,255.28524093766285,,,0.0,0.1882069396614663
2025-12-24,286.4438781738281,286.67999267578125,289.29998779296875,277.25,278.0,18592600,MU,,,260.1152027435272,,,0.0,0.2711954028230248
2025-12-26,284.5554504394531,284.7900085449219,290.8699951171875,283.4200134277344,290.8399963378906,17878500,MU,,,263.9113267129726,,70.21868200363673,14.750705174037389,0.1458056932134395
2025-12-29,294.24639892578125,294.3699951171875,294.5,278.5,280.3299865722656,26642900,MU,,,268.59727569823644,,73.72543400180204,14.839940518749003,0.10698698951887886
2025-12-30,292.5071105957031,292.6300048828125,298.8299865722656,292.010009765625,294.70001220703125,23056400,MU,,,272.29461864970966,,72.06563331238709,14.26708596788412,0.05799200534110027
2025-12-31,285.2901611328125,285.4100036621094,293.1700134277344,284.17999267578125,293.1700134277344,17573800,MU,,,274.31237019007887,,65.47827928784207,13.890152738174763,0.03308363199733999
2026-01-02,315.2875671386719,315.4200134277344,315.6000061035156,294.8599853515625,295.1300048828125,42604300,MU,,,280.636622995872,,75.50196754880285,15.054427716977013,0.10025122605767778
2026-01-05,312.0189208984375,312.1499938964844,325.5299987792969,309.54998779296875,325.1300048828125,34608600,MU,,,285.48483390365857,,73.01419145387885,15.120540807644948,0.09607073468396221
2026-01-06,343.2857666015625,343.42999267578125,344.54998779296875,318.05999755859375,318.2799987792969,48732400,MU,272.01949920654295,,294.3994737147544,,79.85281220559736,16.354787456847763,0.16666099932862788
2026-01-07,339.40740966796875,339.54998779296875,346.29998779296875,337.17999267578125,340.7099914550781,32781100,MU,276.65099868774416,,301.34570664986427,,77.23815240652029,15.83801657544346,0.16033893355859385
2026-01-08,326.8826599121094,327.0199890136719,343.6600036621094,321.3599853515625,342.8999938964844,33897700,MU,280.3809982299805,,305.2955962442962,,69.34184892294296,16.299588127950848,0.14579021343913245
2026-01-09,344.9450988769531,345.0899963378906,345.79998779296875,326.19000244140625,332.75,33387500,MU,284.4499984741211,,311.4178116433107,,73.54263467537098,16.536045072494538,0.0940649979299868
2026-01-12,345.7247619628906,345.8699951171875,348.4700012207031,339.32000732421875,340.54998779296875,23152600,MU,288.82049865722655,,316.7181475623687,,73.71008807970424,16.00846998849381,0.1080249940094038
2026-01-13,337.9880065917969,338.1300048828125,351.2300109863281,335.2200012207031,346.2699890136719,23881300,MU,293.6699989318848,,320.0122794578216,,69.04046055767779,16.008579972574612,-0.015432512902192164
2026-01-14,333.21002197265625,333.3500061035156,339.1000061035156,328.20001220703125,334.8399963378906,20277200,MU,298.46249923706057,,322.064237403313,298.8613050852103,66.2491529700913,15.643680967139597,-0.018259407781906267
2026-01-15,336.4886474609375,336.6300048828125,347.7699890136719,336.2699890136719,345.3299865722656,25370200,MU,303.6684997558594,,324.30512470785135,301.65898655169934,67.22826859855388,15.556273963069359,0.029386631374202832
2026-01-16,362.5976867675781,362.75,365.80999755859375,352.0400085449219,353.1000061035156,47901900,MU,310.52999954223634,,330.21972090664343,306.18424680712906,73.7572176234005,16.529396728263066,0.05117506693766294
2026-01-20,364.84674072265625,365.0,381.55999755859375,361.3500061035156,364.67999267578125,49744900,MU,316.3524993896484,,335.57053307485216,310.5409692658602,74.2334234678624,16.792296351607,0.05530981337751162
2026-01-21,388.94659423828125,389.1099853515625,394.20001220703125,366.7300109863281,372.8500061035156,56712800,MU,322.51199798583986,,343.80737188665375,316.36089638331964,78.69480586907478,17.67856176985159,0.15077035380642534
2026-01-22,397.41302490234375,397.5799865722656,397.7799987792969,376.9200134277344,396.6400146484375,39607600,MU,328.5614974975586,,352.08008183828633,322.37712528620455,80.0046311244252,17.90580631140237,0.1926803038629752
2026-01-23,399.482177734375,399.6499938964844,412.42999267578125,390.739990234375,397.1600036621094,35404200,MU,334.7304977416992,,359.39852984723984,328.1010414795586,80.32302109353932,18.176106034974076,0.18720847250562334
2026-01-26,388.9266052246094,389.0899963378906,398.0,384.29998779296875,395.5,29193900,MU,339.8509979248047,,363.9664477688784,332.6187418394351,73.86163773942447,17.974241754155617,0.07261198163443305
2026-01-27,410.0677185058594,410.239990234375,416.45001220703125,399.6000061035156,404.6099853515625,36212100,MU,346.12349700927734,,371.08545430203174,338.368463942764,77.72628032615948,18.644654190940262,0.1239451787243151
2026-01-28,435.09722900390625,435.2799987792969,438.94000244140625,417.0,422.44000244140625,42725700,MU,353.1689971923828,,380.9615380677649,345.5470961528775,81.25916054174422,19.362894049232473,0.11865543205225015
2026-01-29,435.6070251464844,435.7900085449219,444.7099914550781,417.70001220703125,439.3699951171875,42675700,MU,360.3269973754883,,389.39668737194285,352.231756330066,81.32413543602902,19.909114420576355,0.0961065024979848
2026-01-30,414.7057800292969,414.8800048828125,455.5,407.1300048828125,446.4700012207031,51022900,MU,366.8004974365234,,393.31719775823046,356.87236733397316,70.52778255774557,21.942034470334296,0.03810837287357227
