date,adj close,close,high,low,open,volume,symbol,sma_20,sma_50,ema_12,ema_26,rsi_14,atr_14,momentum_5
2025-12-08,277.3746643066406,277.8900146484375,279.6700134277344,276.1499938964844,278.1300048828125,38211800,AAPL,,,,,,0.0,
2025-12-09,276.66595458984375,277.17999267578125,280.0299987792969,276.9200134277344,278.1600036621094,32193300,AAPL,,,,,,0.0,
2025-12-10,278.26300048828125,278.7799987792969,279.75,276.44000244140625,277.75,33038300,AAPL,,,,,,0.0,
2025-12-11,277.514404296875,278.0299987792969,279.5899963378906,273.80999755859375,279.1000061035156,33248000,AAPL,,,,,,0.0,
2025-12-12,277.7639465332031,278.2799987792969,279.2200012207031,276.82000732421875,277.8999938964844,39532900,AAPL,,,,,,0.0,
2025-12-15,273.6016540527344,274.1099853515625,280.1499938964844,272.8399963378906,280.1499938964844,50409100,AAPL,,,,,,0.0,-0.013602609297268753
2025-12-16,274.1007385253906,274.6099853515625,275.5,271.7900085449219,272.82000732421875,37648600,AAPL,,,,,,0.0,-0.009271979912435113
2025-12-17,271.33587646484375,271.8399963378906,276.1600036621094,271.6400146484375,275.010009765625,50138700,AAPL,,,,,,0.0,-0.024894190658564685
2025-12-18,271.68524169921875,272.19000244140625,273.6300048828125,266.95001220703125,273.6099853515625,51630700,AAPL,,,,,,0.0,-0.02100491444639563
2025-12-19,273.1625061035156,273.6700134277344,274.6000061035156,269.8999938964844,272.1499938964844,144632000,AAPL,,,,,,0.0,-0.016565996017624873
2025-12-22,270.4674987792969,270.9700012207031,273.8800048828125,270.510009765625,272.8599853515625,36571800,AAPL,,,,,,0.0,-0.011455197908358472
2025-12-23,271.85491943359375,272.3599853515625,272.5,269.55999755859375,270.8399963378906,29642000,AAPL,,,274.2670399036828,,,0.0,-0.008193438403630848
2025-12-24,273.3022155761719,273.80999755859375,275.42999267578125,272.20001220703125,272.3399963378906,17910600,AAPL,,,274.19672569674606,,,0.0,0.007246914535175453
2025-12-26,272.8929748535156,273.3999938964844,275.3699951171875,272.8599853515625,274.1600036621094,21521800,AAPL,,,274.07415157362885,,40.74585963537579,4.077854701450893,0.0044453927191487885
2025-12-29,273.2523498535156,273.760009765625,274.3599853515625,272.3500061035156,272.69000244140625,23715200,AAPL,,,274.02582206470515,,42.55331894566619,3.9301493119220345,0.00032884983182279726
2025-12-30,272.5735778808594,273.0799865722656,274.0799865722656,272.2799987792969,272.80999755859375,22139600,AAPL,,,273.88030891202214,,40.06718015262214,3.777994917711086,0.00778678577723424
2025-12-31,271.3558349609375,271.8599853515625,273.67999267578125,271.75,273.05999755859375,27293600,AAPL,,,273.56948990272065,,36.0031774678896,3.6459947575732405,-0.001835805650211797
2026-01-02,270.5074157714844,271.010009765625,277.8399963378906,269.0,272.260009765625,37838100,AAPL,,,273.17572372778284,,33.45703049379553,4.016994870453053,-0.010226024681109669
2026-01-05,266.7643737792969,267.260009765625,271.510009765625,266.1400146484375,270.6400146484375,45647200,AAPL,,,272.26561388745085,,25.042500993754302,4.113637745219799,-0.022457879546201154
2026-01-06,261.8734436035156,262.3599853515625,267.54998779296875,262.1199951171875,267.0,52352100,AAPL,273.32249755859374,,270.7416710357757,,18.496415450747506,4.20766309740276,-0.041642402131057965
2026-01-07,259.8471984863281,260.3299865722656,263.67999267578125,259.80999755859375,263.20001220703125,48309800,AAPL,272.44449615478516,,269.13987342600495,,16.564593982146576,4.183543955958813,-0.046689617060699296
2026-01-08,258.55963134765625,259.0400085449219,259.2900085449219,255.6999969482422,257.0199890136719,50419300,AAPL,271.53749694824216,,267.58604805968446,,15.459626177424127,4.215432932249143,-0.04715654196060581
2026-01-09,258.8890075683594,259.3699951171875,260.2099914550781,256.2200012207031,259.0799865722656,39997000,AAPL,270.5669967651367,,266.3220399146849,,16.98516469747949,4.199329882400989,-0.04295049713663357
2026-01-12,259.76739501953125,260.25,261.29998779296875,256.79998779296875,259.1600036621094,45263800,AAPL,269.67799682617186,,265.38787992781033,,21.07536962987035,4.220806319372348,-0.026229175744521105
2026-01-13,260.5658874511719,261.04998779296875,261.80999755859375,258.3900146484375,258.7200012207031,45730800,AAPL,268.81649627685545,,264.7205119070655,,24.707201684656056,4.163604647285483,-0.004993130171273452
2026-01-14,259.4779052734375,259.9599914550781,261.82000732421875,256.7099914550781,259.489990234375,40019400,AAPL,268.10899658203124,,263.98812414522126,268.3390382526518,23.14446195988498,4.2312054488465645,-0.001421254316720022
2026-01-15,257.73114013671875,258.2099914550781,261.0400085449219,257.04998779296875,260.6499938964844,39388600,AAPL,267.288996887207,,263.09918065443003,267.58873848986855,20.86288487453197,4.213977970497033,-0.0032042042250775005
2026-01-16,255.05613708496094,255.52999877929688,258.8999938964844,254.92999267578125,257.8999938964844,72142800,AAPL,266.47349700927737,,261.93469113517875,266.6954985113077,17.945325868638562,4.196551059797468,-0.014805090836184198
2026-01-20,246.2425079345703,246.6999969482422,254.7899932861328,243.4199981689453,252.72999572753906,80267500,AAPL,265.19899673461913,,259.5908920294962,265.2143502473769,11.993931583040194,4.761797456265618,-0.052065333532210656
2026-01-21,247.1907501220703,247.64999389648438,251.55999755859375,245.17999267578125,248.6999969482422,54641700,AAPL,263.89799575805665,,257.75383077826365,263.9132868139775,15.250430768634061,4.8773837010189665,-0.05133114163219776
2026-01-22,247.8894500732422,248.35000610351562,251.0,248.14999389648438,249.1999969482422,39708300,AAPL,262.7669960021973,,256.30708852061014,262.76045120579516,17.667979376878492,4.7682853011973,-0.04466066215257869
2026-01-23,247.58001708984375,248.0399932861328,249.41000366210938,244.67999267578125,247.32000732421875,41689000,AAPL,261.5509963989258,,255.03522771530592,261.6700469154498,17.430834032409052,4.765551421563787,-0.03938654004686193
2026-01-26,254.9363555908203,255.41000366210938,256.55999755859375,249.8000030517578,251.47999572753906,55969200,AAPL,260.63099670410156,,255.09288555327566,261.20634000779495,38.54804490604265,5.033726625199297,-0.0004695930722840025
2026-01-27,257.791015625,258.2699890136719,261.95001220703125,258.2099914550781,259.1700134277344,49648300,AAPL,259.87449645996094,,255.58167070102894,260.9888325267488,44.48185938924366,5.1413181908937675,0.04689903611088031
2026-01-28,255.96446228027344,256.44000244140625,258.8599853515625,254.50999450683594,257.6499938964844,41288000,AAPL,259.00849609375,,255.71372173801007,260.65188215005674,41.7067902648824,5.0847948090246815,0.03549367559684269
2026-01-29,257.801025390625,258.2799987792969,259.6499938964844,254.41000366210938,258.0,67253000,AAPL,258.26849670410155,,256.1085335905157,260.476187085556,45.39548857759125,5.095880196549705,0.039983863224236416
2026-01-30,258.9988098144531,259.4800109863281,261.8999938964844,252.17999267578125,255.1699981689453,92443400,AAPL,257.64949798583984,,256.6272224206407,260.4023962633909,47.719039088205136,5.4261745554178065,0.04612166590005673
2026-02-02,269.5093078613281,270.010009765625,270.489990234375,259.2099914550781,260.0299987792969,73913400,AAPL,257.59949798583983,,258.68611278140753,261.1140713376305,62.71280303877353,5.844304857123454,0.05716301591236994
2026-02-03,268.98028564453125,269.4800109863281,271.8800048828125,267.6099853515625,269.20001220703125,64394700,AAPL,257.710498046875,,260.3467125052415,261.73377057086736,61.75283833772951,5.731855905275351,0.04340427633681765
2026-02-04,275.97723388671875,276.489990234375,278.95001220703125,272.2900085449219,272.2900085449219,90545700,AAPL,258.4169982910156,,262.830293694339,262.8268238792753,68.59928377850466,5.998866284948763,0.07818588208581057
2026-02-05,275.3983459472656,275.9100036621094,279.5,273.2300109863281,278.1300048828125,52977400,AAPL,259.1959991455078,,264.8425567663037,263.7959483076334,67.52232466442982,6.0182321941432715,0.06825927275103294
2026-02-06,277.6042175292969,278.1199951171875,280.9100036621094,276.92999267578125,277.1199951171875,50453400,AAPL,260.1499984741211,,266.8852395895166,264.85698881204485,69.4879823992425,5.945501323133038,0.07183591545262225
2026-02-09,274.3672180175781,274.6199951171875,278.20001220703125,271.70001220703125,277.9100036621094,44623400,AAPL,260.9124984741211,,268.07520197838903,265.58017446427766,62.98622613340597,5.985108371480678,0.017073386855413597
2026-02-10,273.4280700683594,273.67999267578125,275.3699951171875,272.94000244140625,274.8900146484375,34376900,AAPL,261.58399810791013,,268.93747747029556,266.1801609984631,61.32658055423837,5.7311715360735755,0.01558550363004918
2026-02-11,275.24639892578125,275.5,280.17999267578125,274.45001220703125,274.70001220703125,51931300,AAPL,262.3064987182617,,269.94709632101933,266.8705194430214,63.3406892223782,5.786087854925463,-0.0035805644664959058
2026-02-12,261.4891052246094,261.7300109863281,275.7200012207031,260.17999267578125,275.5899963378906,81077200,AAPL,262.3949996948242,,268.68292934645143,266.48974103882193,44.47015760705938,6.482796475639492,-0.051393543139329756
2026-02-13,255.5445556640625,255.77999877929688,262.2300109863281,255.4499969482422,262.010009765625,56290700,AAPL,262.2735000610352,,266.69786310535073,265.69642679737564,39.05570257088044,6.504026301528524,-0.08032502779412731
2026-02-17,263.6371154785156,263.8800048828125,266.2900085449219,255.5399932861328,258.04998779296875,58469100,AAPL,262.6910003662109,,266.2643464557294,265.5618770259265,48.28655351626773,6.807311227047134,-0.039108551545170456
2026-02-18,264.106689453125,264.3500061035156,266.82000732421875,262.45001220703125,263.6000061035156,34203300,AAPL,263.5735008239746,,265.96983255538885,265.4721088094516,48.77141683670283,6.633217219200018,-0.03409086093961766
2026-02-19,260.3401184082031,260.5799865722656,264.4800109863281,260.04998779296875,262.6000061035156,30845300,AAPL,264.22000045776366,266.37879821777346,265.1406254810622,265.10972938447486,45.11725470950562,6.475846217354258,-0.05415612859431718
